aamiainen	frukost
käydä töissä	jobba
käydä WC:ssä	besöka toaletten
käyttää	använda
köyhyys	fattigdom
köyhä	fattig
laajuus	omfattning
lahjakkuus	begåvning
laihduttaa	banta
Lain perusteella	Enligt lagen
laitoshoito	institutionsvård
laitoshoito	anstaltsvård
lannistua	ge upp
lapsen asioista vastaava sosiaalityöntekijä	socialarbetare som ansvarar för barnets angelägenheter
lapsen etu	barnets bästa
Lapset sijoitettiin kiireellisesti sijaisperheeseen	Barnen placerades brådskande till en fosterfamilj
lapsi	barn
lapsi- ja perhekohtainen lastensuojelu	barn- och familjeinriktat barnskydd
Lapsi on otettu huostaan 3 kuukautta sitten	Barnet har omhändertagits för tre månader sedan
lastenkoti	barnhem
lastensuojelu	barnskydd
lastensuojeluilmoitus	barnskyddsanmälan
lastensuojelulaitoksen ohjaaja	handledare vid barnskyddsanstalt
lastensuojelulaitos	barnskyddsanstalt
lastensuojelulaki	barnskyddslagen
lastensuojelun sosiaalityöntekijä	socialarbetare inom barnskyddet
lastensuojelutarpeen selvitys	utredning av behovet av barnskydd
lastentarhanopettaja	barnträdgårdslärare
lastentarhanopettajaopisto	barnträdgårdslärarinstitutet
laulan kuorossa	Jag sjunger I kör
leikki	lek
lepo	vila
lievä	lindrig
liike	rörelse
liikkua	röra
lisätä	öka
liukuva työaika	flextid
lomakorvaus	semesterersättning
lomautettu	permitterad
Lopuksi	Avslutningsvis
Lopuksi haluan	Till sist vill jag
lounassetelit	lunchsedlar
luennoida	föreläsa
luento	föreläsning
luistella	åka skridsskor
lukea kirjoja	läsa böcker
lukea lehtiä	läsa tidningar
lukio	gymnasium
lukukausi	termin
lukumäärä	antal
lukuvuosi	läsår
luotettava	pålitlig
luottamuksellinen	konfidentiell
luottamuksellisesti	I förtroende
luottotieto	kredituppgift
luova	kreativ
luova ja itsenäinen	kreativ och självständig
lyhytaikainen	kortvarig
läheinen	en anhörig
läheisneuvonpito	familjerådslag
lähete	en remiss
lähiopetus	kontaktundervisning
lähisuhdeväkivalta	hedersrelaterad våld
lääkeannostelu	läkemedelsdosering
lääkkeet	mediciner
löhöillä	slöa
mahdollistaa	möjliggöra
masennus	depression
Meidän esityksessä tulemme käsittelemään	I vår presentation kommer vi att behandla
Meillä ei ole vielä faktaa asioista	Vi har inte ännu fakta om saken
mennä nukkumaan	lägga sig
mervärdesskatt	arvonlisävero
metsämörritoiminta	skogsmulleverksamhet
Mielellään keskeyttäkää minut jos teilä on kysymyksiä	Avbryt mig gärna om ni har något att fråga
mielenkiinnon kohde	intresse
mielenterveys	mental hälsa
mielenterveyshuolto	mentalvård
mieliala	sinnesstämning
mieltymykset	preferenser
mikä on siviilisäätynne	vad är ert civilstånd
Minulla ei ole mielipidettä asiasta	Jag har ingen åsikt om saken
Minulla on harjoittelu	Jag har praktik
Minulla on koeaika	Jag har provanställning
Minulla on kokoaikainen työsuhde	Jag har heltidsanställning
Minulla on määräaikainen työsuhde	Jag har visstidsanställning
Minulla on osa-aikainen työsuhde	Jag har deltidsanställning
Minulla on sijaisuus	Jag har vikariat
Minulla on tuntiperusteinen työsuhde	Jag har timanställning
Minulla on vakituinen työsuhde	Jag har fastanställning
Minulla toistaiseksi voimassa oleva työsuhde	Jag har tillsvidareanställning
Minun täytyy selvittää asia	Jag måste ta reda på saken
mitä asia koskee	vad gäller saken
Mitä tarkoitat oikeastaan	Vad menar du egentligen
motivoitunut	motiverad
muisti	minne
muistin kuntoutus	Minnesrehabilitering
muistisairaudet	minnesstörningar
muotoutua	utform
musikaalisesti lahjakas	musikaliskt begåvad
muuttua 	ändras
myöntää	bevilja
myöntää tukea	bevilja stöd
määrätietoinen	målmedveten
määrätä	bestämma
naimaton	ogift
naimisissa	gift
nautinto	njutning
nettiriippuvaisuus	nätberoende
nettiriippuvuus	nätberoende
neuvo	råd
neuvonantaja	rådgivare
neuvonta	rådgivning
neuvontapalvelut	rådgivningstjänster
nojata	stödja
nostaa rimaa	höj
nousta ylös	stiga
nuoret	de unga
nuorisoasema	ungdomsstationen
nuoriso-ohjaaja	ungdomsledare
nuorisotalo	ungdomsgård
nuorisotyö	ungdomsarbete
nuorten turvatalo	de ungas skyddshus
nuoruus	ungdom
Nyt en valitettavasti voi vastata kysymykseen	Nu kan jag tyvärr inte svara på frågan
Nyt en ymmärrä	Nu förstår jag inte
näkö	syn
näkövammainen	synskadad
ohjata	styra
ohjaus	handledning
oikeudenmukainen	rättvis
ole hyvä ja odota hetki	var så god och vänta ett ögonblick
Olen eri mieltä	Det tycker jag inte
Olen harjoittelija	Jag är praktikant
Olen harjoittelussa	Jag är på praktik
Olen keikkatyöntekijä	Jag är inhoppare
Olen samaa mieltä	Det tycker jag också
olla avoliitossa jonkun kanssa	vara sambo med något
olla kavereiden kanssa	vara med kompisar
olla kihloissa	vara förlovad
olla kotona	vara hemma
olla oikeutettu johonkin	ha rätt till något
olla sosiaalisessa mediassa	vara I sociala medier
olla ystävien kanssa	umgås med vänner
omainen	anhörig
omaishoito	närståendevård
omakuva	självbild
omistusasunto	ägarbostäder
on mukana elämän kaikissa vaiheissa	finns till i livets alla skeden
ongelmanratkaisu	problemslösning
ongelmia	bekymrar
onko siinä kaikki	är det bra så här
onko sinulla kela-kortti mukanasi	har du fpa-kortet med sig
onko sulla henkkaria mukana	har du leg med sig
onnettomuus	olyck
opetus	undervisning
opetusohjelmia	handledning
opinnot	studier
opinnäytetyö	examensarbete
opintoaika	studietid
opintojen ohella	vid sidan av studierna
opinto-ohjaaja	studievägledare
opintopiste	studiepoäng
opiskelen sosionomiksi	Jag studerar till socionom
opiskelija	studerande
opiskella	studera
oppia	lära sig
oppilas	elev
oppiminen 	lärande
oppiminen 	inlärning
osaaminen	kunskap
osallinen 	delaktig
osallisuus	delaktighet
osallisuus 	delaktighet
paino-ongelmat	problem med vikten
Palaan asiaan	Jag återkommer
palkka	lön
palveli sodassa	tjänstgjorde i krigen
palvelu	tjänst
palveluntarjoaja	tjänsteleverantörer
palveluntarve	servicebehovet
palveluohjaaja	servicehandledare
panostaa johonkin 	satsa på något 
parantaa	bota
parantua	tillfriskna
parantua	bli bättre
parisuhde	parförhållandet
paska	skit
pedagogiikka 	pedagogik
pelata tietokonepelejä	spela datorspel
peliriippuvuus	spelberoende
pelätä	rädd
penkkiurheilu	bänkidrott
perhe	familj
perhehoitaja	familjevårdare
perhehoito	familjevård
perheneuvola	familjerådgivning
perhepäivähoitaja	familjedagvårdare
perhepäivähoito	familjedagvård
perheterapia	en familjeterapi
perhetyö	familjearbete
perhetyöntekijä	familjearbetare
perheväkivalta	familjevåld
persoonallisuushäiriö	personlighetsstörning
perustaa 	grund
peseytyä	tvätta sig
pettymys	besvikelse
pitkäaikainen	långvarig
pitää jostakin	tycker om något
Pitää paikkansa	Det stämmer
pitää tarjolla	tillhandahålla
pitää workshop	hålla workshop
poika	son
poikaystävä	pojkvän
potilassuuntautunut	patientinriktad
projektikoordinaattori	projektkoordinator
projektityöntekijä	projektarbetare
psyykkiset ongelmat	mental ohälsa
psyykkiset sairaudet	psykiska sjukdomar
puhelinetu	telefonförmån
pukeutua	klä sig
purjehtia	segla
purjelautailla	vindsurfa
puuttua	ingripa
pyrkiä johonkin	syft
pyyntö lastensuojelutarpeen arvioimiseksi	begäran om bedömning av barnskyddsbehovet
pyöräillä	cykla
pyörätuoli	rullstol
päihde	rusmedel
päihdehuolto	missbrukarvård
päihdeongelmat	missbrukproblem
päivittäiset perusrutiinit	de dagliga basrutinerna
päivähoito	dagvård
päiväkodin johtaja	daghemsföreståndare
päiväkoti	ett dagis
päiväraha	dagtraktamente
Pätkätyö	Snuttjobb
pääkaupunkiseutu	huvudstadsregion
päättäväinen	bestämd
raha	pengar
raiskaustukikeskus	våldtäktskriscentret
raitis	nykter
raittius	nykterhet
rajoitustoimenpiteet	begränsande åtgärder
rakas	kär
rakastaa	älska
rakkaus	kärlek
rakkaushuolet	kärleksbekymmer
raskaana	gravid
raskaus	graviditet
ratkaista	lösa
ratkaisu	Lösningen
ratsastaa	rida
reflektoida	reflekter
riippuvuus	beroende
rikkaus	rikedom
rikollinen	brottsling
rikollisuus	brottslighet
rikos	brott
rikosoikeudellinen	straffrättsligt
runsas vuoto	kraftig menstruationsblödning
ruoka	mat
ruumiillinen rangaistus	kroppslig bestraffning
ryhmänohjaaja	gruppledare
ryhmäterapia	gruppterapi
saavutettavuus	tillgänglighet
sairaanhoito	skjukvård
sairaus	sjukdom
saisinko nimesi ja henkilötunnuksesi	kan jag få ditt namn och din personbetecking
satukirja	sagobok
sauvakävely	stavgång
Se on hyvä kysymys	Det är en bra fråga
Se on tietenkin mahdollista	Det är förstås möjligt men
Se on vaikea kysymys	Det är en svår fråga
sekakäyttäjä	blandmissbrukare
seksuaalinen identiteetti	sexuell identitet
seksuaalinen itsemääräämisoikeus	sexuell självbestämmanderätt
seksuaalinen suuntautuminen	sexuell läggning
seksuaalineuvonta	Sexualundervisning
Seksuaalioikeudet	Sexuella rättighete
selvitä	klara sig
sen jälkeen 	sedan dess 
seniorikoti	ett seniorhem
Seuraava kuva valaisee	Nästa bilden belyser
seuraavia asioita	följande saker
seurustella	sällskapa
sidoksissa johonkin	anknut
siivous	städning
sijaishuolto	vård utom hemmet
sijaisperhe	fosterfamilj
sijaisvanhemmat	fosterföräldrar
sijaitsee jossakin 	belägen
sijoitus	placering
sijoitus avohuollon tukitoimena	placering som stödåtgärd inom öppenvården
sinkku	singel
sinun täytyy täyttää hakemus netissä	du måste fylla I ansäkan på nätet
Sinä olet oikeassa	Det har du rätt i
sisarukset	syskon
sisko	syster
siskopuoli	halvsyster
sisällä	inomhus
sitoutunut	engagerad
sopeutusmisvalmennus	anspassningsträning
sosiaali- ja terveydenhuollon organisaatio 	social- och hälsovårdsorganisation 
sosiaaliala	socialbranschen
sosiaalinen	social
sosiaalinen kanssakäyminen	det sociala samspelet
sosiaalinen media	sociala medier
sosiaalinen tuki	socialt stöd
sosiaalinen verkosto	det sociala nätverket
sosiaaliohjaaja	socialhandledare
sosiaalipalvelut	socialtjänster
sosiaalipäivystys	socialjouren
sosiaaliset suhteet	sociala relationer
sosiaalitoimi	socialförvaltningen
sosiaalitoimisto	socialbyrån
sosionomi	socionom
stressaava	stressig
stressiä sietävä	stresstålig
suhteet	relationer
suku	släkt
sukupuoli-identiteetti	könsidentitet
sukupuolitauti	könssjukdom
sulautuu	sammanslagits
suorittaa ammattitutkinto	avlägga yrkesexamen
sup-lautailla	paddla SUP
surfata netissä	surfa på nätet
suunnistus	orientering
synnynnäinen	medfödd
syrjäytyneet	marginaliserade
sysslor	askereet
syömishäiriö	ätströrning
sähly	innebandy
säilyttää	bevara
säännöllinen	regelbunden
tahdonvastainen huostaanotto	omhändertagande mot klientens vilja
taitoluistelu	konståkning
tapahtuma	evenemang
tarjoaa	erbjuder
tarjota	erbjuda
tarkka ja tarmokas	noggrann och driftig
tarkkaavaisuus	uppmärksamhet
tarkoitettu	avsedda
tarve	behov
tasapainoilla	balansera
Taustatiedot selvitetään perusteellisesti	Bakgrundsuppgifterna utreds grundligt
tavoite	mål
teen ruokaa	Jag lagar mat
tehdä mahdolliseksi	möjliggöra
tehdä tyhjäksi	motverka
Tehdäkseni yhteenvedon	För att sammanfatta
Teihin on otettu yhteyttä viime viikolla	Ni har kontaktats förra veckan
teini	tonåring
teini-ikä	tonåren
terve	frisk
terveellinen	hälsosam
terveydentila	hälsotillstånd
terveys	hälsa
terveyspalvelu	hälsovård
terveyspalvelut	Hälsotjänster
terveysriski	hälsorisk
terveyttä edistävä	hälsofrämjande
terveyttä edistävä 	hälsofrämjande 
tiedonkäsittely	informationsbehandling
tietyn osan päivästä	bara ges en del av dygnet
todistus	betyg
toimeentulotuki	utkomststöd
toimenpide	åtgärd
toimia	funger
toiminnanalentuma	funktionsnedsättning
toiminnanohjaus	styrning av aktiviteter
toiminta	aktivitet
toiminta 	verksamhet
toimintakyky	funktionsförmåga
toimintamalli 	verksamhetsmodel
toimittaa asioita	uträtta ärenden
Toivottavasti olen kyennyt valaisemaan teemaa	Hoppas jag har kunnat belysa temat
Toivottavasti olette saaneet paremman kuvan	Hoppas ni har fått en bättre bild av
tottunut käyttämään tietokonetta	datorvan
tottunut tekemään töitä ryhmässä	van att arbeta i grupp
tukea	stött
tuki	sträva
tuki- ja asumispalvelut	stöd- och boendetjänster
tukiasunto	stödbostad
tukihenkilö	en stödperson
tukimuoto	stödform
tukimuotoja	stödformer
tukipalvelut	stödtjänster
tukiryhmä	stödgrupp
Tulen ottamaan esille	Jag kommer att ta upp
tulevaisuus	framtid
tulkita	tolka
tulkki	tolk
tulo	en inkomst
tulot	inkomster
tunteet	känslor
tuntipalkka	timlön
turvakoti	skyddshem
turvallinen 	trygg
turvallisuus	tryggheten
turvata	säkerställa
tutkimuskeskus 	forskningscentrum
tutkinto	examen
tyttöystävä	flickvän
tytär	dotter
työllistää 	sysselsätta
työmarkkinat	arbetsmarknad
Työskentelen etänä	Jag jobbar på distans
Työskentelen kolmessa vuorossa	Jag jobbar I tre skift
työsuhdeauto	tjänstebil
työterveys	företagshälsovård
työtön	arbetslös
Tämä oli tärkein	Det här var det viktigaste
tärkeä	viktig
Tässä kuvassa	På den här bilden
Tässä on esityksen sisältö	Här är innehållet i vår presentation
täytetäänpä tämä lomake ensin	vi ska fylla I den här blanketten först
uhmakas käytös	trotsigt beteende
uida	simma
ulkona	utomhus
ulospäinsuuntautunut	utåtriktad
unettomuus	sömnlöshet
univaikeudet	sömnbesvär
urakkatyö	på ackord
urheilla	sporta
Uskallan väittää	Jag vågar påstå
utelias	nyfiken
vaatehuolto	klädvård
vaatia	kräva
vaeltaa	vandra
vahva	stark
vahva puoleni	min starka sida
vahvistaa	stärker
vaihdella	varierar
Vaikea sanoa	Det är svårt att säga
vaikeus	svårighet
vaikuttaa	påverka
vaikuttava 	imponerande 
vaitiolovelvollisuus	tystnadsplikt
vaiva	besvär
vallankäyttö	övergrepp
valmis kehittämään toimintaa	beredd att utveckla verksamheten
valmistua	bli färdig
valmistunut 	utexaminer
vamma	skada
vammaishuolto	handikappomsorg
vanha	gammal
vanhainkoti	ett åldringshem
vanhemmat 	föräldrar
vanhempainvapaa	föräldraledighet
vanhukset	de äldre
vanhus	en åldring
vanhustenhoitaja	äldrevårdare
vanhustenhoito	äldreomsorg
vanhustyön johtaja	chef inom äldre omsorg
vanhustyön ohjaaja	handledare inom äldreomsorgen
vanhuus	en ålderdom
vankka työkokemus	gedigen arbetserfarenhet
vanustenhoito	äldrevården
vapaaehtoinen	frivillig
vapaaehtoisjärjestöt	frivilliga organisationer
vapaaehtoisuus	frivillighet
varastaa	stjäla
varhaiskasvatus	småbarnsfostran
varhaiskasvatus	småbarnspedagogik
varmistaa	trygga
Vastaan mielelläni teidän mahdollisiin kysymyksiin	Jag svarar gärna på era eventuella frågor
vastaanottavainen	mottaglig
vastuu	ansvar
vastuuntuntoinen ja kunnianhimoinen	ansvarskännande och ambitiös
vauvauinti 	babysim
veli	bror
velipuoli	halvbror
velvoitteet	Förpliktelser
velvollinen	skyldig
verkko-opinnot	nätstudier
vertaistuki	kamratstöd
vielä	ännu
vieroitusoire	ett abstinensbesvär
vieroitusoireet	abstinensbesvär
viettänyt	tillbringat
vihaisuus	ilska
viihtyy vaihtelevissa työtehtävissä	trivs med växlande arbetsuppgifter
viittoa	teckna
viittomakieli	teckenspråk
viivästynyt kehitys	försenad utveckling
viranomainen	myndighet
virkavapaa	tjänsteledighet
virke	mening
Voi olla totta	Det kan vara sant
voida	mår
Voidaan tehdä johtopäätös että	Man kan dra slutsatsen att
Voitko tarkentaa hiukan	Kan du precisera litet
Voitko toistaa kysymyksen	Kan du upprepa frågan
vuorotteluvapaa	alterneringsledighet
vuorotyö	skiftarbete
vuorovaikutus	växelverkan
vuosiloma	semester
väestö	Befolkningen
vähentää	minska
väkivalta	våld
väkivaltainen	våldsam
väkivaltaisuus	våldsamhet
välipala	mellanmål
väsymys	trötthet
väärinkäyttö	missbruk
vääristynt kehokuva	förvrgnd kroppsbild
yhdenvertaisuus	likabehandling
Yhteenvetona	Sammanfattningsvis
yhteistyökykyinen	samarbetsvillig
yksinäisyys	ensamhet
yksityinen sektori	privat sektor
yleisurheilu	friidot
ylityö	övertid
ylityökorvaus	övertidsersättning
ympäristö	miljö
ystävyys	vänskap
äitiys- ja lastenneuvola	mödra- och barnrådgivning
